pmid,pmc_id,doi,title,first_author,authors,author_count,journal,publication_date,primary_type,all_publication_types,is_review,is_meta_analysis,is_guideline,is_systematic_review,has_fulltext,volume,issue,pages,appeared_in_iterations,num_iterations,is_duplicate
41208126,,10.1080/17441692.2025.2579691,Introducing a human rights-based approach to HIV in the Middle East and North Africa (MENA) Region: A mixed methods study.,Noralla N,Noralla N,1,Global public health,2025-12-31,Journal Article,Journal Article,False,False,False,False,False,20,1,2579691,iteration_2_and_3_combined,1,False
41194455,PMC12599349,10.1080/2162402X.2025.2574859,Intratumoral regulatory T cells are associated with treatment response to neoadjuvant chemotherapy and prognosis in gastroesophageal adenocarcinoma.,Baenke F,Baenke F; Stammberger A; Sommer U; Brückmann S; Merboth F ... (15 total),15,Oncoimmunology,2025-12-31,Journal Article,Journal Article,False,False,False,False,True,14,1,2574859,iteration_2_and_3_combined,1,False
41210167,PMC12590272,10.1016/j.omtm.2025.101611,A potency and toxicology study on tolerability of cryopreserved mesenchymal stem cell product with DMSO in septic mice and nude rats.,Wang Y,Wang Y; Hanover G; Murray ABP; Salkhordeh M; Tan Y ... (15 total),15,Molecular therapy. Methods & clinical development,2025-12-11,Journal Article,Journal Article,False,False,False,False,True,33,4,101611,iteration_2_and_3_combined,1,False
41017813,PMC12476070,10.1016/j.omtn.2025.102698,Measles and rubella: From global health challenges to advancements in molecular diagnostics in the elimination era.,Sharma S,Sharma S; Pokharel YR,2,Molecular therapy. Nucleic acids,2025-12-09,Review,"Journal Article, Review",True,False,False,False,True,36,4,102698,iteration_1_disease,1,False
41210584,PMC12590236,10.1016/j.omtn.2025.102721,"mRNA therapeutics: Transforming medicine through innovation in design, delivery, and disease treatment.",Ige MA,Ige MA; Ren X; Yang Y; Zhang H; Shen C ... (8 total),8,Molecular therapy. Nucleic acids,2025-12-09,Review,"Journal Article, Review",True,False,False,False,True,36,4,102721,iteration_2_and_3_combined,1,False
41210583,PMC12593654,10.1016/j.omtn.2025.102731,mRNA vaccine expressing enterovirus D68 virus-like particles induces potent neutralizing antibodies and protects against infection.,Kunishima Y,Kunishima Y; Senpuku K; Kataoka-Nakamura C; Hirai T; Yoshioka Y,5,Molecular therapy. Nucleic acids,2025-12-09,Journal Article,Journal Article,False,False,False,False,True,36,4,102731,iteration_2_and_3_combined,1,False
41217394,,10.1083/jcb.202506162,Reevaluating the roles of PPARs and nuclear receptors in human peroxisome biology.,Mast FD,Mast FD; Rachubinski RA; Aitchison JD,3,The Journal of cell biology,2025-12-01,Review,"Journal Article, Review",True,False,False,False,False,224,12,,iteration_2_and_3_combined,1,False
41210968,PMC12595130,10.1016/j.isci.2025.113750,Unraveling virus-host interactions: Current advances in viral lipidomics.,Requena B,Requena B; Barbas C; Gonzalez-Riano C,3,iScience,2025-11-21,Review,"Journal Article, Review",True,False,False,False,True,28,11,113750,iteration_2_and_3_combined,1,False
41210989,PMC12590482,10.1016/j.isci.2025.113647,Down-regulation of MFNG promotes the metastatic potential of lung adenocarcinoma by regulating TGF-β/Smad signaling.,Miao T,Miao T; Zhang Y; Tian F; Xu X; Wei Q ... (10 total),10,iScience,2025-11-21,Journal Article,Journal Article,False,False,False,False,True,28,11,113647,iteration_2_and_3_combined,1,False
41210967,PMC12595004,10.1016/j.isci.2025.113637,A role for Fas/FasL-dependent NK-mediated cytotoxicity in infants with perinatal HIV.,Iyer A,Iyer A; de Armas L; Dinh V; Pallikkuth S; Pahwa RN ... (8 total),8,iScience,2025-11-21,Journal Article,Journal Article,False,False,False,False,True,28,11,113637,iteration_2_and_3_combined,1,False
41210957,PMC12589883,10.1016/j.isci.2025.113659,Flavivirus-based bivalent nanoparticle vaccines induce neutralizing antibodies and Th1 responses against flavivirus and coupling antigens.,Ii K,Ii K; Sato F; Hatakeyama Y; Suzuki H; Noguchi T ... (15 total),15,iScience,2025-11-21,Journal Article,Journal Article,False,False,False,False,True,28,11,113659,iteration_2_and_3_combined,1,False
41210956,PMC12589887,10.1016/j.isci.2025.113660,Immune correlates analysis of antibody responses against SARS-CoV-2 variants in the ENSEMBLE vaccine efficacy trial.,Luedtke A,Luedtke A; Fong Y; van der Laan L; Heng F; Huang Y ... (69 total),69,iScience,2025-11-21,Journal Article,Journal Article,False,False,False,False,True,28,11,113660,iteration_2_and_3_combined,1,False
41224673,,10.24272/j.issn.2095-8137.2025.081,VEGFR-3 deficiency in astrocytes exacerbates Japanese encephalitis virus-induced neuroinflammation in mouse brains.,Wang XL,Wang XL; Zhao Q; Liu HY; Dai YS; Han MS ... (11 total),11,Zoological research,2025-11-18,Journal Article,Journal Article,False,False,False,False,False,46,6,1317-1325,iteration_2_and_3_combined,1,False
41232128,PMC12616201,10.7189/jogh.15.02002,Global health at a crossroads: training the next generation of global health practitioners for a post-aid era.,Wu F,Wu F; Zhao J,2,Journal of global health,2025-11-14,News,News,False,False,False,False,True,15,,02002,iteration_2_and_3_combined,1,False
41076807,,10.1016/j.vaccine.2025.127842,"Differentiating COVID-19 vaccine-related adverse events from long COVID: A comprehensive review of clinical manifestations, pathophysiology, and diagnostic approaches.",Domingo JL,Domingo JL,1,Vaccine,2025-11-14,Review,"Journal Article, Review",True,False,False,False,False,66,,127842,"iteration_1_disease, iteration_1_disease",2,True
41232125,PMC12615003,10.7189/jogh.15.03036,Strengthening the mpox response: how do we balance pragmatism and equity in resource-constrained settings?,Lokossou VK,Lokossou VK; Ogunyemi KO; Usman AB; Kamdem S; Ahanhanzo CD ... (8 total),8,Journal of global health,2025-11-14,Journal Article,Journal Article,False,False,False,False,True,15,,03036,iteration_2_and_3_combined,1,False
41232124,PMC12615002,10.7189/jogh.15.04310,Mapping respiratory health digital interventions in South and Southeast Asia: a scoping review.,Evans L,Evans L; Evans J; Barach P; Abdullah A; Ahmed Z ... (6 total),6,Journal of global health,2025-11-14,Journal Article,Journal Article,False,False,False,False,True,15,,04310,iteration_2_and_3_combined,1,False
41239662,,10.1097/MD.0000000000045596,Myocardial injury complicating diabetic ketoacidosis in type 1 diabetes mellitus with concurrent thyroid storm: Case report and literature review.,Ma Y,Ma Y; Liu R; Bai T; Li X; Chang W ... (6 total),6,Medicine,2025-11-14,Review,"Journal Article, Review",True,False,False,False,False,104,46,e45596,iteration_2_and_3_combined,1,False
41223263,PMC12609120,10.1126/sciadv.adz2251,Small things matter: Lack of extraislet β cells in type 1 diabetes.,Murrall K,Murrall K; Luckett T; Lekka C; Flaxman CS; Wyatt R ... (15 total),15,Science advances,2025-11-14,Journal Article,Journal Article,False,False,False,False,True,11,46,eadz2251,iteration_2_and_3_combined,1,False
41223282,PMC12609157,10.1126/sciadv.adz1069,Evasion of CARD8 activation during HIV-1 assembly.,Hughes IK,Hughes IK; Hood JB; Quiñones-Molina AA; Akiyama H; Gummuluru S,5,Science advances,2025-11-14,Journal Article,Journal Article,False,False,False,False,True,11,46,eadz1069,iteration_2_and_3_combined,1,False
41235544,PMC12616580,10.7189/jogh.15.04303,"Systematic review of barriers to and enablers of tuberculosis diagnosis, notification, and intervention for designing customised intervention package to minimise 'missing millions' in tribal communities of India.",Satav A,Satav A; Raje D; Dani V; Munje R; Kumbhare S ... (11 total),11,Journal of global health,2025-11-14,Journal Article,Journal Article,False,False,False,False,True,15,,04303,iteration_2_and_3_combined,1,False
41232026,PMC12614398,10.2196/71793,"Shesha, a WhatsApp Chatbot for Linking Household Contacts to Tuberculosis Treatment or Preventive Therapy in South Africa: Design and Development.",Mudzengi DL,Mudzengi DL; Ntshiqa T; Hamada Y; Ndebele F; Mpanza T ... (11 total),11,JMIR formative research,2025-11-13,Journal Article,Journal Article,False,False,False,False,True,9,,e71793,iteration_2_and_3_combined,1,False
41224265,,10.2169/internalmedicine.5450-25,Dysphagia after COVID-19 Vaccination: A Report of Two Cases.,Sunami E,Sunami E; Aoyagi Y; Ohashi M; Asano Y; Onai D ... (12 total),12,"Internal medicine (Tokyo, Japan)",2025-11-13,Journal Article,Journal Article,False,False,False,False,False,,,,iteration_2_and_3_combined,1,False
41230995,,10.1128/spectrum.02092-25,"Oxidoreductase gene fabG contributes to fungal development, cell wall integrity, and virulence in Aspergillus fumigatus.",Zhang H,Zhang H; Ni H; Tao X; Chen T; Zhang Y ... (9 total),9,Microbiology spectrum,2025-11-13,Journal Article,Journal Article,False,False,False,False,False,,,e0209225,iteration_2_and_3_combined,1,False
41231113,PMC12614894,10.7554/eLife.107042,Repeated vaccination with homologous influenza hemagglutinin broadens human antibody responses to unmatched flu viruses.,Deng Y,Deng Y; Tang M; Ross TM; Schmidt AG; Chakraborty AK ... (6 total),6,eLife,2025-11-13,Journal Article,Journal Article,False,False,False,False,True,14,,,iteration_2_and_3_combined,1,False
41224266,,10.2169/internalmedicine.5708-25,Geriatric Nutrition Risk Index Predicts Poor Swallowing Recovery in Acute Ischemic Stroke.,Ikenouchi H,Ikenouchi H; Sasaki M; Johno T; Yakuwa H; Shiroma I ... (10 total),10,"Internal medicine (Tokyo, Japan)",2025-11-13,Journal Article,Journal Article,False,False,False,False,False,,,,iteration_2_and_3_combined,1,False
41224269,,10.2169/internalmedicine.6218-25,Two Cases of Hepatitis B Virus-associated Membranoproliferative Glomerulonephritis with Contrasting Renal and Survival Outcomes after Antiviral Therapy.,Kono K,Kono K; Fujii T; Takazawa Y; Mizuno H; Oba Y ... (16 total),16,"Internal medicine (Tokyo, Japan)",2025-11-13,Journal Article,Journal Article,False,False,False,False,False,,,,iteration_2_and_3_combined,1,False
41225567,PMC12613475,10.1186/s13690-025-01753-7,Package of interventions for harm reduction among women who inject drugs in Nigeria.,Dadi AN,Dadi AN; Arije OO; Eruchalu K; Anyanti J; Idogho O ... (7 total),7,Archives of public health = Archives belges de sante publique,2025-11-13,Journal Article,Journal Article,False,False,False,False,True,83,1,276,iteration_2_and_3_combined,1,False
41231542,,10.1172/jci.insight.183935,LAIR1 prevents excess inflammatory tissue damage in Staphylococcus aureus skin infection and Cutaneous T-cell Lymphoma.,Dorando HK,Dorando HK; Mutic EC; Tomaszewski KL; Korshunova Y; Tian L ... (12 total),12,JCI insight,2025-11-13,Journal Article,Journal Article,False,False,False,False,False,,,,iteration_2_and_3_combined,1,False
41224270,,10.2169/internalmedicine.6263-25,A Case of Cerebellar-Onset Progressive Multifocal Leukoencephalopathy (PML) Associated with Hepatitis B-related Liver Cirrhosis.,Sato K,Sato K; Saito A; Miyazaki T; Nakamichi K; Takahashi K ... (8 total),8,"Internal medicine (Tokyo, Japan)",2025-11-13,Journal Article,Journal Article,False,False,False,False,False,,,,iteration_2_and_3_combined,1,False
41224271,,10.2169/internalmedicine.6294-25,Postpartum Hepatitis B Exacerbation Following Discontinuation of Nucleotide Analogue Therapy: A Case Report.,Takada R,Takada R; Shimizu S; Yamazaki Y; Tateyama Y; Fukuchi T ... (9 total),9,"Internal medicine (Tokyo, Japan)",2025-11-13,Journal Article,Journal Article,False,False,False,False,False,,,,iteration_2_and_3_combined,1,False
41224277,,10.2169/internalmedicine.6454-25,Asymptomatic Cytomegalovirus Pneumonia Presenting as Pulmonary Nodules.,Otsuki M,Otsuki M; Kami W; Doi M; Yamamoto K,4,"Internal medicine (Tokyo, Japan)",2025-11-13,Journal Article,Journal Article,False,False,False,False,False,,,,iteration_2_and_3_combined,1,False
41231960,,10.1371/journal.ppat.1013699,"Comparative genomics, integrated with single-cell sequencing and genetic analyses, reveal roles of transcription factor AP2-M2 in asexual replication of Babesia parasite.",Wang J,Wang J; Chai Y; Ye Y; Yang J; Zhang X ... (7 total),7,PLoS pathogens,2025-11-13,Journal Article,Journal Article,False,False,False,False,False,21,11,e1013699,iteration_2_and_3_combined,1,False
41231526,PMC12614116,10.2196/75844,Exploring the Implementation of Multiple Telementoring ECHO Programs From an Institutional and Organizational Perspective: Qualitative Study.,Pagé MG,Pagé MG; Develay É; Talbot A; Khemiri R; Wartelle-Bladou C,5,JMIR medical education,2025-11-13,Journal Article,Journal Article,False,False,False,False,True,11,,e75844,iteration_2_and_3_combined,1,False
41232107,,10.2196/76442,Supporting Oral and Long-Acting HIV Preexposure Prophylaxis Decision-Making Among Pregnant Women (MyChoice Intervention): Protocol for 2 Pilot Randomized Controlled Trials.,Saidi F,Saidi F; Welch S; Phanga T; Sulpizio C; Paile L ... (24 total),24,JMIR research protocols,2025-11-13,Journal Article,Journal Article,False,False,False,False,False,14,,e76442,iteration_2_and_3_combined,1,False
41233517,PMC12615747,10.1038/s41598-025-23529-3,Predictive power of parametric temperature based topological indices with applications in structure property modeling of anti tuberculosis drugs.,Hayat S,Hayat S; Alanazi SJF; Belay MB; Wang S,4,Scientific reports,2025-11-13,Journal Article,Journal Article,False,False,False,False,True,15,1,39828,iteration_2_and_3_combined,1,False
41233830,PMC12613367,10.1186/s12879-025-11876-5,Significant histologic alterations in untreated chronic hepatitis B children: a meta-analysis.,Huang C,Huang C; Guo X; Wang Z; Pan Y; Jiang Q ... (10 total),10,BMC infectious diseases,2025-11-13,Meta-Analysis,"Journal Article, Meta-Analysis",False,True,False,False,True,25,1,1570,iteration_2_and_3_combined,1,False
41233792,PMC12616934,10.1186/s12879-025-12086-9,"Unsuspected drug shortage is impacting the German HIV PrEP supply - results of a cross-sectional survey show: majority of PrEP users had to stop or switch to on-demand PrEP and higher unmet PrEP demand among women, diverse individuals, and those in rural or small-town areas.",Schmidt D,Schmidt D; Kirchner G; Voulgaris K; Friebe M; Bremer V ... (6 total),6,BMC infectious diseases,2025-11-13,Journal Article,Journal Article,False,False,False,False,True,25,1,1574,iteration_2_and_3_combined,1,False
41233786,PMC12616961,10.1186/s12879-025-12129-1,"Profiles of PCSK9, SREBP-2, and histopathology in COVID-19 and non-COVID-19 critical illness.",Weber F,Weber F; Pavel V; Müller M; Boor P; Läber L ... (7 total),7,BMC infectious diseases,2025-11-13,Journal Article,Journal Article,False,False,False,False,True,25,1,1573,iteration_2_and_3_combined,1,False
41233766,PMC12616996,10.1186/s12879-025-12156-y,"Correction: The combined effect of statin and vitamin C in patients with pulmonary septic shock: a single-center, double-blind clinical trial.",Farzanegan B,Farzanegan B; Shafigh N; Hasheminik M; Alipour H; Behzadfar A ... (8 total),8,BMC infectious diseases,2025-11-13,Published Erratum,Published Erratum,False,False,False,False,True,25,1,1572,iteration_2_and_3_combined,1,False
41233764,PMC12613786,10.1186/s12887-025-06285-1,Application of the PECARN prediction rule for febrile infants up to 90 days of age: a multi-center study.,Hameed TK,Hameed TK; Almadani SH; Shahin WA; Ardah HI; Almaghrabi WA ... (11 total),11,BMC pediatrics,2025-11-13,Journal Article,"Journal Article, Multicenter Study",False,False,False,False,True,25,1,928,iteration_2_and_3_combined,1,False
41233746,PMC12613362,10.1186/s12879-025-12005-y,Risk of drug-induced liver injury in chronic hepatitis C and tuberculosis co- infection: a systematic review and meta- analysis.,Wei X,Wei X; Cai R; Wu X; Su Y; Lian S ... (8 total),8,BMC infectious diseases,2025-11-13,Meta-Analysis,"Journal Article, Meta-Analysis",False,True,False,False,True,25,1,1566,"iteration_1_disease, iteration_2_and_3_combined",2,True
41233738,PMC12616912,10.1186/s12879-025-11996-y,Prevalence of potentially inappropriate medications in people living with HIV: a systematic review and meta-analysis.,Abubakar MM,Abubakar MM; Isah A; Jeminiwa R; Abioye I; Yunusa I ... (15 total),15,BMC infectious diseases,2025-11-13,Journal Article,Journal Article,False,False,False,False,True,25,1,1571,iteration_2_and_3_combined,1,False
41233721,PMC12613667,10.1186/s12876-025-04275-2,BIGH3 as a potential biomarker for fibrosis in metabolic dysfunction-associated steatotic liver disease: insights from mouse and human studies.,Zhuang Z,Zhuang Z; Zhuge F; Liu Y; Song Y; Luo Y ... (11 total),11,BMC gastroenterology,2025-11-13,Journal Article,Journal Article,False,False,False,False,True,25,1,805,iteration_2_and_3_combined,1,False
41233587,PMC12615665,10.1038/s43856-025-01162-5,Investigation of the sero-epidemiology of vaccine preventable diseases and common viral infections in French populations.,Bloch E,Bloch E; Baudemont G; Donnadieu F; Garcia L; Pelleau S ... (11 total),11,Communications medicine,2025-11-13,Journal Article,Journal Article,False,False,False,False,True,5,1,465,iteration_2_and_3_combined,1,False
41233519,PMC12615699,10.1038/s42003-025-09014-7,Highly Pathogenic Avian Influenza Viruses (HPAIV) Associated with Major Southern Elephant Seal Decline at South Georgia.,Bamford CCG,Bamford CCG; Fenney N; Coleman J; Fox-Clarke C; Dickens J ... (9 total),9,Communications biology,2025-11-13,Journal Article,Journal Article,False,False,False,False,True,8,1,1493,iteration_2_and_3_combined,1,False
41233715,PMC12616977,10.1186/s12245-025-01052-6,Mortality and reproducibility of calcium measurements in patients with hypercalcemia reporting to the emergency department of a tertiary German hospital.,Himmels FM,Himmels FM; Krane A; Osterholt T; Hüser C; Suárez V ... (7 total),7,International journal of emergency medicine,2025-11-13,Journal Article,Journal Article,False,False,False,False,True,18,1,239,iteration_2_and_3_combined,1,False
41233500,PMC12615703,10.1038/s41598-025-23516-8,Identifying SUMOylation-related genes in liver fibrosis with bioinformatics and experimental models for diagnostic insights.,Su Z,Su Z; Ding Y; Xue J; Sun J; Ji C,5,Scientific reports,2025-11-13,Journal Article,Journal Article,False,False,False,False,True,15,1,39783,iteration_2_and_3_combined,1,False
41233361,PMC12615636,10.1038/s41541-025-01294-8,Rabies virus-vectored Lyme disease vaccine provides long-term protection against tick-transmitted Borrelia burgdorferi.,Rios S,Rios S; Bhattachan B; Wirblich C; Chandwani A; Vavilikolanu K ... (9 total),9,NPJ vaccines,2025-11-13,Journal Article,Journal Article,False,False,False,False,True,10,1,231,iteration_2_and_3_combined,1,False
41233303,PMC12615833,10.1038/s41467-025-64998-4,"Iron absorption and loss, and efficacy of iron supplementation with and without prebiotics in children with virally suppressed HIV: three prospective studies in South Africa.",Baumgartner J,Baumgartner J; Blaauw R; Mikulic N; Goosen C; Barnabas SL ... (7 total),7,Nature communications,2025-11-13,Journal Article,"Journal Article, Randomized Controlled Trial",False,False,False,False,True,16,1,9929,iteration_2_and_3_combined,1,False
41233305,PMC12615793,10.1038/s41467-025-64941-7,Structural Insights into De Novo Promoter Escape by Mycobacterium tuberculosis RNA Polymerase.,Brewer J,Brewer J; Delbeau M; Zoullas WB; Darst SA; Campbell EA,5,Nature communications,2025-11-13,Journal Article,Journal Article,False,False,False,False,True,16,1,9990,iteration_2_and_3_combined,1,False
