pmid,pmc_id,title,primary_type,journal,publication_date,doi,has_fulltext,appeared_in_iterations,num_iterations
41208126,,Introducing a human rights-based approach to HIV in the Middle East and North Africa (MENA) Region: A mixed methods study.,Journal Article,Global public health,2025-12-31,10.1080/17441692.2025.2579691,False,iteration_2_and_3_combined,1
41194455,PMC12599349,Intratumoral regulatory T cells are associated with treatment response to neoadjuvant chemotherapy and prognosis in gastroesophageal adenocarcinoma.,Journal Article,Oncoimmunology,2025-12-31,10.1080/2162402X.2025.2574859,True,iteration_2_and_3_combined,1
41210167,PMC12590272,A potency and toxicology study on tolerability of cryopreserved mesenchymal stem cell product with DMSO in septic mice and nude rats.,Journal Article,Molecular therapy. Methods & clinical development,2025-12-11,10.1016/j.omtm.2025.101611,True,iteration_2_and_3_combined,1
41017813,PMC12476070,Measles and rubella: From global health challenges to advancements in molecular diagnostics in the elimination era.,Review,Molecular therapy. Nucleic acids,2025-12-09,10.1016/j.omtn.2025.102698,True,iteration_1_disease,1
41210584,PMC12590236,"mRNA therapeutics: Transforming medicine through innovation in design, delivery, and disease treatment.",Review,Molecular therapy. Nucleic acids,2025-12-09,10.1016/j.omtn.2025.102721,True,iteration_2_and_3_combined,1
41210583,PMC12593654,mRNA vaccine expressing enterovirus D68 virus-like particles induces potent neutralizing antibodies and protects against infection.,Journal Article,Molecular therapy. Nucleic acids,2025-12-09,10.1016/j.omtn.2025.102731,True,iteration_2_and_3_combined,1
41217394,,Reevaluating the roles of PPARs and nuclear receptors in human peroxisome biology.,Review,The Journal of cell biology,2025-12-01,10.1083/jcb.202506162,False,iteration_2_and_3_combined,1
41210968,PMC12595130,Unraveling virus-host interactions: Current advances in viral lipidomics.,Review,iScience,2025-11-21,10.1016/j.isci.2025.113750,True,iteration_2_and_3_combined,1
41210989,PMC12590482,Down-regulation of MFNG promotes the metastatic potential of lung adenocarcinoma by regulating TGF-β/Smad signaling.,Journal Article,iScience,2025-11-21,10.1016/j.isci.2025.113647,True,iteration_2_and_3_combined,1
41210967,PMC12595004,A role for Fas/FasL-dependent NK-mediated cytotoxicity in infants with perinatal HIV.,Journal Article,iScience,2025-11-21,10.1016/j.isci.2025.113637,True,iteration_2_and_3_combined,1
41210957,PMC12589883,Flavivirus-based bivalent nanoparticle vaccines induce neutralizing antibodies and Th1 responses against flavivirus and coupling antigens.,Journal Article,iScience,2025-11-21,10.1016/j.isci.2025.113659,True,iteration_2_and_3_combined,1
41210956,PMC12589887,Immune correlates analysis of antibody responses against SARS-CoV-2 variants in the ENSEMBLE vaccine efficacy trial.,Journal Article,iScience,2025-11-21,10.1016/j.isci.2025.113660,True,iteration_2_and_3_combined,1
41224673,,VEGFR-3 deficiency in astrocytes exacerbates Japanese encephalitis virus-induced neuroinflammation in mouse brains.,Journal Article,Zoological research,2025-11-18,10.24272/j.issn.2095-8137.2025.081,False,iteration_2_and_3_combined,1
